"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"84326",1394.23450091483,-0.00173773977090981,0.064136903253046,-0.0270942262998531,0.978384579817007,0.99492687885441
"7014",430.021722160006,0.00236534969949606,0.0849314804276873,0.0278500938354652,0.977781712335551,0.99492687885441
"284207",1752.28038860704,0.00156186218899159,0.0563765205080648,0.0277041253152216,0.97789813344206,0.99492687885441
"107985343",163.286767019954,0.0035684693654939,0.131272369483521,0.0271837049908805,0.978313212437653,0.99492687885441
"644096",149.981835897531,0.0036993805751018,0.140410472550445,0.0263468992583351,0.978980647680658,0.99492687885441
"5111",1242.53203868457,-0.0014963555367776,0.0564250974246442,-0.0265193257092021,0.978843119332379,0.99492687885441
"79576",354.0468401253,-0.00253728387269263,0.0962081976572526,-0.0263728448768145,0.978959953263187,0.99492687885441
"5784",3425.72635766705,0.0011792711250711,0.0465556973914996,0.0253303288565153,0.979791482758632,0.995271340186643
"10109",3287.09956224943,-0.00113455225150207,0.0449672467965333,-0.0252306363481772,0.979871000457777,0.995271340186643
"79443",509.22542490935,0.00222688343049409,0.0896345244163845,0.0248440368819208,0.980179365533915,0.995271340186643
"55132",239.623296286138,0.00281957461094602,0.112126834459427,0.0251462963753452,0.979938272675826,0.995271340186643
"4521",452.424353888887,0.00230489913104678,0.092071000521223,0.0250339316179744,0.980027898566055,0.995271340186643
"746",1208.30464814646,-0.00172462234242268,0.0692421390365566,-0.0249071211031213,0.980129047178565,0.995271340186643
"8892",328.256076430494,0.00252053609094039,0.0990559478925109,0.025445580447885,0.979699554924057,0.995271340186643
"162966",106.407095074847,-0.00415175225829641,0.165767042153341,-0.0250457039250051,0.980018508568221,0.995271340186643
"79019",149.45104257438,-0.00353148712651481,0.14493918673268,-0.0243653024839179,0.980561224710846,0.995568908733318
"114625",251.591446121163,-0.00250185153472334,0.108010528876341,-0.0231630338333743,0.981520225418114,0.995730996938058
"55324",457.956610631427,0.00193170897181504,0.0832393961122988,0.0232066672998079,0.981485420304695,0.995730996938058
"22824",862.530066681955,-0.00157347542077359,0.0672255959759745,-0.0234058976782583,0.981326500629029,0.995730996938058
"256364",363.274872844062,-0.00215235044024767,0.0912355252290478,-0.0235911442921403,0.981178736018082,0.995730996938058
"10072",683.323891070738,0.0016911881754859,0.0708538518496998,0.0238686836542545,0.980957353986609,0.995730996938058
"4659",1112.47749437323,-0.00139219695047915,0.0588013876641891,-0.0236762601323272,0.981110842367049,0.995730996938058
"145781",615.172599194813,-0.00175541225791702,0.0752587260697609,-0.0233250328512051,0.98139100381603,0.995730996938058
"54994",1348.68880944322,-0.00128475005590339,0.0549901666710454,-0.023363268992961,0.981360504100393,0.995730996938058
"10521",7636.84111904946,0.00089795310789115,0.0379846594680909,0.0236398883250613,0.981139854750197,0.995730996938058
"8697",641.576349982747,0.00178307633200665,0.0781104965868959,0.0228276148522884,0.981787780294421,0.995759858691787
"51451",335.01412489186,-0.00218319377047691,0.0950977383212203,-0.02295736795656,0.981684279420086,0.995759858691787
"22981",204.191574977502,-0.00283448647084107,0.124356005551073,-0.0227933219491917,0.981815134954866,0.995759858691787
"105371450",114.412119941024,0.0034370030629602,0.156059030694791,0.0220237370926777,0.982429020666651,0.995775434494892
"673",686.628112070817,0.00168791547298788,0.0752757203869748,0.0224231062062336,0.982110448896902,0.995775434494892
"55002",751.959890295784,0.00154799922331098,0.0695275947637119,0.0222645300556107,0.982236942779326,0.995775434494892
"8883",599.65811361821,-0.00169500568119068,0.0762362798463975,-0.0222335833359892,0.982261628578374,0.995775434494892
"9100",1367.20251356123,-0.00126548819656579,0.057503957797555,-0.0220069756071572,0.982442391156594,0.995775434494892
"100506469",94.0584796099981,-0.00374988798515685,0.170491093394698,-0.0219946268775203,0.98245224163304,0.995775434494892
"112858",239.582755281017,0.00263513306332477,0.117894748395971,0.0223515729002126,0.982167509916264,0.995775434494892
"55585",1249.73969639294,-0.00122114250113014,0.056177224865491,-0.0217373233379543,0.982657491081246,0.995825734818304
"51427",267.288615052222,-0.00234515351760863,0.108023268709229,-0.0217097070439629,0.982679520497271,0.995825734818304
"984",587.582802146379,0.00164629024140447,0.0765181489809216,0.0215150296149341,0.982834814339302,0.995855671714766
"55073",419.445328486791,0.00219102704313246,0.10214596544427,0.0214499616661596,0.982886719072686,0.995855671714766
"84317",319.962339677478,0.00215632384100034,0.102555719875072,0.0210258759202028,0.983225014236822,0.996108407248239
"92399",740.053694598682,0.00141177817284352,0.0677846277231954,0.020827409108281,0.983383333171971,0.996178779090175
"10254",235.552140801856,0.00248532328069407,0.120163388808803,0.0206828660986632,0.983498636969903,0.996205567317454
"2039",453.091768221059,0.00174093401328864,0.0868017034983424,0.0200564498520687,0.983998341133407,0.996436828102417
"29099",449.700125358451,-0.00169601302167383,0.0847282102516723,-0.0200170995780045,0.984029731807668,0.996436828102417
"6400",1847.79622262597,-0.00100406182626365,0.0503264161422146,-0.0199509900213504,0.984082469070552,0.996436828102417
"84936",450.02140353888,-0.00186601020599176,0.0921211637625924,-0.0202560424746771,0.983839121608325,0.996436828102417
"54986",93.8128646918493,0.00342108919501306,0.173527032040019,0.0197150216585511,0.984270707558363,0.996537424585641
"8574",829.141989685987,-0.00128153426348493,0.0670783540306385,-0.0191050344333074,0.984757315266965,0.99667171763134
"51463",190.571977890979,-0.00234420036088831,0.123433922151474,-0.0189915407371693,0.984847853707963,0.99667171763134
"114915",457.859345197424,-0.00169254522634758,0.0874184203109863,-0.0193614254332948,0.984552782680659,0.99667171763134
"100529264",354.470264218039,-0.00177721719712995,0.0934517036578418,-0.0190174938237289,0.984827149880049,0.99667171763134
"7592",319.364225540021,-0.00185484633640442,0.0974669202703943,-0.0190305216504089,0.984816757059098,0.99667171763134
"6518",530.917058625372,0.00145999284269221,0.0782266251461023,0.0186636307007418,0.98510944169449,0.99684646185007
"8799",218.65251877305,-0.00207619887543722,0.11373710942664,-0.0182543664587885,0.985435931684193,0.996931594014968
"84002",361.881116199637,0.00164175514065656,0.0912044279369744,0.0180008271286025,0.985638193565418,0.996931594014968
"10087",1010.57086852366,0.00109947539062995,0.0607959200706131,0.0180846903764748,0.985571291265354,0.996931594014968
"10488",447.226539560422,0.00154720033255459,0.0847822038345682,0.0182491167081901,0.98544011968152,0.996931594014968
"440248",121.025513429451,0.00274035069431736,0.150986607862058,0.0181496275273696,0.985519487417765,0.996931594014968
"84140",275.293906352912,0.00181796487729828,0.102648920901631,0.0177105113364071,0.985869795129837,0.997075892936455
"7849",214.114820402545,0.00201257835446518,0.117719475979983,0.0170963923999067,0.986359716940659,0.997121621877523
"54919",740.227513759371,-0.00132520309072734,0.0765656351931384,-0.017308066306568,0.986190850585959,0.997121621877523
"11224",11212.0175631295,-0.000830842821728934,0.0485797723780034,-0.0171026495403081,0.986354725194768,0.997121621877523
"27250",1613.48276049619,0.00100562186004654,0.0573642735217197,0.0175304557751575,0.986013436381348,0.997121621877523
"57020",349.496415939053,-0.0016281877464753,0.0939993101014878,-0.0173212733659151,0.986180314456685,0.997121621877523
"5590",417.814036872574,0.00144681862057292,0.0885640637087804,0.0163364073415872,0.986966012553601,0.997244153605093
"84832",104.742763281889,-0.00268081188791255,0.163573492474257,-0.0163890361901666,0.986924026428903,0.997244153605093
"51603",560.547020671182,-0.00126841766035554,0.0779226237369026,-0.0162779126205788,0.987012678383194,0.997244153605093
"23180",221.773439856155,0.00189194459469677,0.117047140399153,0.0161639540124165,0.987103592235815,0.997244153605093
"1212",682.096193712549,0.00119874039454928,0.0737122230929416,0.0162624371406873,0.987025024395452,0.997244153605093
"92609",655.107722755218,0.00115230166071678,0.0710638560090175,0.0162150173862021,0.98706285489722,0.997244153605093
"581",487.842568652271,0.00136523396791004,0.0834782201786305,0.0163543732124217,0.986951679777426,0.997244153605093
"197320",237.516084734909,0.00184043552240176,0.11467563872829,0.0160490540345927,0.987195257263489,0.997246893961162
"9943",2806.75606210433,-0.000719090610073788,0.0458331260094637,-0.015689320643879,0.98748224684167,0.997267225415906
"64951",532.040714421704,-0.00123390530906853,0.077786025701882,-0.0158628146628486,0.987343835867948,0.997267225415906
"9221",1499.0310123243,-0.000861098799276859,0.0545856387062805,-0.0157751895862269,0.987413741816493,0.997267225415906
"2553",514.81263733413,0.00124465702649223,0.0813071769263251,0.0153080831673697,0.987786393804607,0.997484530800166
"55319",211.986694761915,0.00194942696345094,0.12839572103508,0.0151829589626147,0.98788621687429,0.997495485668528
"27304",180.10652813345,-0.00204295682079167,0.138173550641021,-0.0147854405659686,0.9882033550586,0.997725847763146
"11079",1726.00510082444,0.000735739045310585,0.0512435677815003,0.0143576857967372,0.988544617750024,0.997800820167059
"7571",163.825443721672,-0.00196968454949282,0.136532619042536,-0.0144264759828506,0.988489736806694,0.997800820167059
"2002",985.4672567648,0.000931540559527177,0.0640791732616043,0.0145373373611446,0.988401291499719,0.997800820167059
"132",567.912141148389,0.00106273399585613,0.0759171696117838,0.0139985987529648,0.988831098961062,0.997910293496487
"25831",1823.16776935926,0.000913274564261843,0.0647578561424746,0.0141029153629258,0.98874787456422,0.997910293496487
"137492",580.856753952552,0.00113184996869482,0.0819438848500759,0.013812500722484,0.988979569351033,0.99797029270877
"387712",138.282649543386,0.0019539243577662,0.142906324666858,0.0136727633456474,0.989091053118582,0.997992961615734
"2057",440.115412947208,0.00120716546398561,0.0893548443664839,0.0135097931460155,0.989221072515264,0.998034327210999
"148423",246.873925452321,-0.00158341300382649,0.119642343875712,-0.0132345535245564,0.989440662325199,0.998156143913685
"9674",259.856102484521,0.00142548648371231,0.108523665440737,0.0131352592812187,0.989519880782865,0.998156143913685
"55871",200.084376076869,0.00156276234882876,0.123375382943731,0.0126667274422281,0.98989368399164,0.998443373030165
"29969",287.762824894285,-0.00125874841094719,0.104878703718196,-0.0120019447830838,0.990424063455496,0.998701364186419
"768",5932.62254954588,-0.000529205500871319,0.0439294934086619,-0.0120467016532217,0.990388355221346,0.998701364186419
"26098",291.979149743016,0.00122792107742018,0.101894743767691,0.0120508775233756,0.990385023600862,0.998701364186419
"57161",107.813984309721,0.00199734425317112,0.167870774453989,0.0118981059071635,0.990506908975857,0.998701364186419
"123036",101.923156066404,-0.00194573090961226,0.165062461610017,-0.0117878461924876,0.990594877330566,0.998701364186419
"23029",670.122151749405,0.000894204663696699,0.0768851522812678,0.0116303946492223,0.990720496874148,0.998738197145587
"51005",184.528978754877,-0.00141092923212163,0.124155864948548,-0.0113641770584607,0.990932893740425,0.998772693672922
"80207",659.542115849821,-0.000818305963891129,0.0719981851584672,-0.0113656470936045,0.990931720897826,0.998772693672922
"286075",143.53691195992,0.00154674361801792,0.139186846864245,0.0111127139730849,0.991133519583141,0.99879531577947
"284129",102.497473035078,-0.00182901740964574,0.164063330283485,-0.0111482401733853,0.991105175532211,0.99879531577947
"9946",155.616611899962,-0.0015128000447652,0.137969529731881,-0.010964740169116,0.991251578403465,0.998824505256268
"25839",958.268897147692,-0.000616056561845601,0.0623014792585768,-0.00988831355494326,0.992110395854941,0.999600040256111
"102723897",175.803611230985,0.000938732201526007,0.126387391673429,0.00742741969034055,0.994073830990254,0.999632202839433
"126789",339.724837386699,-0.000878007563285571,0.0972890535790012,-0.00902473126200788,0.992799404003801,0.999632202839433
"51249",393.429717846647,0.000813885615448088,0.0880234833315291,0.00924623276248559,0.992622678751373,0.999632202839433
"6491",684.419238191249,0.000706613245609515,0.0739139245162679,0.00955994760437859,0.992372381589203,0.999632202839433
"127428",142.250790174264,-0.000998111399319418,0.141487784909652,-0.00705439978409985,0.99437145001029,0.999632202839433
"100303453",133.611476323613,-0.00139897274916922,0.14396286166692,-0.0097175947530548,0.992246603206263,0.999632202839433
"4258",300.724470089009,0.000893231772247896,0.107168406547139,0.00833484233858607,0.993349834978786,0.999632202839433
"4277",461.862574453543,0.000774394924437538,0.0834361976299484,0.00928128254204597,0.992594714273346,0.999632202839433
"3303",2904.62728728725,0.000404318133483228,0.0464134424202956,0.00871122916981543,0.993049532646531,0.999632202839433
"6921",522.350337754989,0.000623459330649392,0.0870564802650494,0.00716154993575696,0.994285958718314,0.999632202839433
"8777",637.571118060965,-0.000530579463287717,0.0741612929026166,-0.00715439877760001,0.994291664370829,0.999632202839433
"1317",679.990506589473,-0.000653638859411028,0.0753832357054015,-0.00867087825687737,0.99308172680107,0.999632202839433
